rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00238,06,2093,2093,-0.25049641728401184,-3.2585744857788086
RGI60-06.00238,06,2094,2094,-0.23611362278461456,-3.0731661319732666
RGI60-06.00238,06,2095,2095,-0.33623480796813965,-4.6537699699401855
RGI60-06.00238,06,2096,2096,-0.23563651740550995,-3.2633254528045654
RGI60-06.00238,06,2097,2097,-0.23031866550445557,-3.1915576457977295
RGI60-06.00238,06,2098,2098,-0.14953453838825226,-2.0728671550750732
RGI60-06.00238,06,2099,2099,-0.2243412584066391,-3.2935051918029785
RGI60-06.00238,06,2100,2100,-0.16829514503479004,-2.471796751022339
RGI60-06.00377,06,2001,2001,-1.8855912685394287,-1.465991735458374
RGI60-06.00377,06,2002,2002,-0.9908959269523621,-0.7704203128814697
RGI60-06.00377,06,2003,2003,1.5954126119613647,1.2402945756912231
RGI60-06.00377,06,2004,2004,-1.1950410604476929,-0.9290955066680908
RGI60-06.00377,06,2005,2005,-1.7750294208526611,-1.3801214694976807
RGI60-06.00377,06,2006,2006,-0.49798133969306946,-0.3872087895870209
RGI60-06.00377,06,2007,2007,-0.9207671880722046,-0.7159762382507324
RGI60-06.00377,06,2008,2008,-0.037648074328899384,-0.02926086261868477
RGI60-06.00377,06,2009,2009,-2.3234431743621826,-1.8068575859069824
RGI60-06.00377,06,2010,2010,-0.4068474769592285,-0.3164058029651642
RGI60-06.00377,06,2011,2011,-2.4263546466827393,-1.8871634006500244
RGI60-06.00377,06,2012,2012,-0.09462349861860275,-0.07358341664075851
RGI60-06.00377,06,2013,2013,-0.03821849822998047,-0.0297270268201828
RGI60-06.00377,06,2014,2014,-0.3295716345310211,-0.2567313611507416
RGI60-06.00377,06,2015,2015,-0.9132509827613831,-0.7113719582557678
RGI60-06.00377,06,2016,2016,-0.15918222069740295,-0.12400604039430618
RGI60-06.00377,06,2017,2017,-1.6903045177459717,-1.3168063163757324
RGI60-06.00377,06,2018,2018,-1.8519362211227417,-1.4428303241729736
RGI60-06.00377,06,2019,2019,-0.1557261198759079,-0.12131629884243011
RGI60-06.00377,06,2020,2020,-1.8202608823776245,-1.4182958602905273
RGI60-06.00377,06,2021,2021,-2.8353159427642822,-2.2095682621002197
RGI60-06.00377,06,2022,2022,-1.8387829065322876,-1.4330949783325195
RGI60-06.00377,06,2023,2023,-2.0564169883728027,-1.6029002666473389
RGI60-06.00377,06,2024,2024,-1.7746268510818481,-1.3833640813827515
RGI60-06.00377,06,2025,2025,-1.217790961265564,-0.9493882060050964
RGI60-06.00377,06,2026,2026,-0.8776832818984985,-0.6842392683029175
RGI60-06.00377,06,2027,2027,-1.7846596240997314,-1.391516923904419
RGI60-06.00377,06,2028,2028,-1.0228397846221924,-0.7975297570228577
RGI60-06.00377,06,2029,2029,-1.1721569299697876,-0.9140373468399048
RGI60-06.00377,06,2030,2030,-2.6803951263427734,-2.090463399887085
RGI60-06.00377,06,2031,2031,-3.359671115875244,-2.6207377910614014
RGI60-06.00377,06,2032,2032,-2.6373112201690674,-2.0575132369995117
RGI60-06.00377,06,2033,2033,-2.3365628719329834,-1.8231627941131592
RGI60-06.00377,06,2034,2034,-1.2614117860794067,-0.9842894077301025
RGI60-06.00377,06,2035,2035,-1.432270884513855,-1.1177189350128174
RGI60-06.00377,06,2036,2036,-1.8690154552459717,-1.4587147235870361
RGI60-06.00377,06,2037,2037,-2.306464672088623,-1.803993821144104
RGI60-06.00377,06,2038,2038,-2.2876741886138916,-1.789559006690979
RGI60-06.00377,06,2039,2039,-0.7512166500091553,-0.587651789188385
RGI60-06.00377,06,2040,2040,-4.113974571228027,-3.219043493270874
RGI60-06.00377,06,2041,2041,-3.311084270477295,-2.591304302215576
RGI60-06.00377,06,2042,2042,-2.8841712474823,-2.2575464248657227
RGI60-06.00377,06,2043,2043,-3.1600892543792725,-2.473923683166504
RGI60-06.00377,06,2044,2044,-3.2385060787200928,-2.535781145095825
RGI60-06.00377,06,2045,2045,-3.750781536102295,-2.9375181198120117
RGI60-06.00377,06,2046,2046,-4.224838733673096,-3.309614658355713
RGI60-06.00377,06,2047,2047,-3.9593894481658936,-3.1023361682891846
RGI60-06.00377,06,2048,2048,-4.720135688781738,-3.709064245223999
RGI60-06.00377,06,2049,2049,-4.843682765960693,-3.807115077972412
RGI60-06.00377,06,2050,2050,-4.996087074279785,-3.9280283451080322
RGI60-06.00377,06,2051,2051,-4.9061279296875,-3.8583292961120605
RGI60-06.00377,06,2052,2052,-4.638866901397705,-3.649102210998535
RGI60-06.00377,06,2053,2053,-4.473510265350342,-3.519888162612915
RGI60-06.00377,06,2054,2054,-5.343341827392578,-4.205595016479492
RGI60-06.00377,06,2055,2055,-3.241760730743408,-2.551988124847412
RGI60-06.00377,06,2056,2056,-3.733064889907837,-2.9486782550811768
RGI60-06.00377,06,2057,2057,-4.102331161499023,-3.2665183544158936
RGI60-06.00377,06,2058,2058,-3.895703077316284,-3.1392362117767334
RGI60-06.00377,06,2059,2059,-3.653104543685913,-2.955925941467285
RGI60-06.00377,06,2060,2060,-4.488106727600098,-3.663048505783081
RGI60-06.00377,06,2061,2061,-3.3076281547546387,-2.7108922004699707
RGI60-06.00377,06,2062,2062,-3.541234016418457,-2.9255106449127197
RGI60-06.00377,06,2063,2063,-3.2389087677001953,-2.6871449947357178
RGI60-06.00377,06,2064,2064,-6.214985370635986,-5.291726589202881
RGI60-06.00377,06,2065,2065,-4.185110092163086,-3.5641188621520996
RGI60-06.00377,06,2066,2066,-3.9989166259765625,-3.441401958465576
RGI60-06.00377,06,2067,2067,-3.0918731689453125,-2.6612164974212646
RGI60-06.00377,06,2068,2068,-3.1423726081848145,-2.7334136962890625
RGI60-06.00377,06,2069,2069,-3.666257858276367,-3.189701557159424
RGI60-06.00377,06,2070,2070,-2.8773932456970215,-2.528015375137329
RGI60-06.00377,06,2071,2071,-4.449116230010986,-3.909817695617676
RGI60-06.00377,06,2072,2072,-4.759058475494385,-4.222557544708252
RGI60-06.00377,06,2073,2073,-2.1558051109313965,-1.9316351413726807
RGI60-06.00377,06,2074,2074,-2.6224465370178223,-2.3500571250915527
RGI60-06.00377,06,2075,2075,-2.5479557514190674,-2.3072896003723145
RGI60-06.00377,06,2076,2076,-2.1763405799865723,-1.9936001300811768
RGI60-06.00377,06,2077,2077,-2.1061110496520996,-1.9529985189437866
